Business Name,Phone Number,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code,Website
Environs,(512) 591-7717,"205 Independence Creek Ln. Georgetown, Texas 78633 United States","$50,000 - License Number 2313",1 Follower Follow,https://www.houzz.com/pro/gritzwoller/environs,Texas,Georgetown,United States,78633,
"Hummingbird Interiors, Home Staging & Design",(512) 921-8148,"Austin, Texas United States",,80 Followers Follow Socials Find me on FacebookFind me on Linkedin,https://www.houzz.com/pro/beth-gwazdosky/hummingbird-interiors-home-staging-design,,,,,www.HummingbirdInteriors.com
BOHO Maxim Interiors and Custom Cabinets,(512) 298-4879,"Austin, Texas 78745 United States",,1 Follower Follow Socials Find me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/jonona-lambert/boho-maxim-interiors-and-custom-cabinets,Texas,Austin,United States,78745,bohomaxim.com
Space Restored,(281) 412-3912,78745 United States,,0 Followers Follow,https://www.houzz.com/pro/renee-wright59/space-restored,,,,,
Shay Millheiser,(512) 800-1000,"3908 Rockledge Dr Austin, Texas 78731 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-213798528/shay-millheiser,Texas,Austin,United States,78731,www.shaymillheiser.com
La casita dreams,(512) 736-2933,78641 United States,,0 Followers Follow,https://www.houzz.com/pro/ahad-khanjee/la-casita-dreams,,,,,
Pottery Barn,(321) 408-6182,"San Antonio, Texas United States",,1 Follower Follow,https://www.houzz.com/pro/ddelorey/pottery-barn,,,,,
HKH Interiors,(979) 229-8666,"College Station, Texas United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-913680811/hkh-interiors,,,,,
Sierra,(512) 422-3316,"Austin, Texas 78703 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-3115673/sierra,Texas,Austin,United States,78703,
Femel Estate Decor,(469) 660-4366,"13535 Lyndhurst St. 9311 Austin, Texas United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-285786715/femel-estate-decor,,,,,
A.Brown Design,837-1240,"Boerne, Texas 78006 United States",,0 Followers Follow,https://www.houzz.com/pro/aayala56/a-brown-design,Texas,Boerne,United States,78006,
"Kelle Contine Interior Design, LLC",(512) 279-0804,"2307 Thornton Road Suite 205 Austin, Texas 78702 United States",,423 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/kellecontineinteriordesign/kelle-contine-interior-design-llc,Texas,Austin,United States,78702,www.kellecontine.com
Homeschool,(512) 839-2720,"Georgetown, Texas 78626 United States",,0 Followers Follow,https://www.houzz.com/pro/natalie-benek9/homeschool,Texas,Georgetown,United States,78626,
Kimball Bonamici Designs,(512) 795-8618,"4510 Hyridge Dr Austin, Texas 78759 United States License Number 9190",,237 Followers Follow,https://www.houzz.com/pro/kimballbonamici/kimball-bonamici-designs,Texas,Austin,,78759,bonamicidesigns.com
Colby Design,(512) 345-1992,"Austin, Texas 78746 United States",,11 Followers Follow,https://www.houzz.com/pro/lcolbycarter/colby-design,Texas,Austin,United States,78746,
Saint James Ateliér,(347) 470-7728,"Austin, Texas 78758 United States",$0 - 2 million,2 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-352957060/saint-james-ateli-r,Texas,Austin,United States,78758,stjamesatelier.co
Glimmer & Sway,(512) 527-4996,"Austin, Texas 78704 United States","$300 - 3,000 Read More License Number 81-3162147",0 Followers Follow,https://www.houzz.com/pro/elizabeth-charters/glimmer-sway,Texas,Austin,United States,78704,glimmerandsway.com
Ashley Beseda,(979) 250-1292,"3115 Old Park Road Fayetteville, Texas 78940 United States",,0 Followers Follow,https://www.houzz.com/pro/ashley-beseda5/ashley-beseda,Texas,Fayetteville,United States,78940,
North Star Design Co.,(512) 669-8345,"Dripping Springs, Texas 78620 United States",,0 Followers Follow,https://www.houzz.com/pro/lindsdylan-hinkle73/north-star-design-co,,Texas,United States,78620,www.northstardesign.co
Liz Suri,,Downtown Austin Texas 78701 United States,,10 Followers Follow,https://www.houzz.com/pro/lizsuri/liz-suri,,,,,www.lizsuri.com
Ella Mae Design,(832) 606-2239,"301 La Casa Dr 704 Kerrville, Texas 78028 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-247524583/ella-mae-design,Texas,Kerrville,United States,78028,
Hummingbird Hollow,(512) 525-7504,"Burnet, Texas United States",,12 Followers Follow,https://www.houzz.com/pro/erlandschulze/hummingbird-hollow,,,,,www.hummertx.com
D-Lim Productions,(617) 835-8730,"Pflugerville, Texas 78660 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-312990424/d-lim-productions,,,,,www.dlimproductions.com
Kiana's Special Touch,(254) 444-0803,"2200 Omaha Drive Harker Heights, Texas 76548 United States",,0 Followers Follow,https://www.houzz.com/pro/kiana-walton/kiana-s-special-touch,Texas,Harker Heights,United States,76548,www.kianaspecialtouch.com
Ensure Inspections,(210) 276-1614,"3402 Cedar Grove St San Antonio, Texas 78247 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-266061936/ensure-inspections,Texas,San Antonio,United States,78247,www.ensureinspections.com
Therese Mattingly,(513) 850-1772,"1422 heavens peak San Antonio, Texas 78258 United States","$250 - 1,500",47 Followers Follow,https://www.houzz.com/pro/theresemattingly/therese-mattingly,Texas,San Antonio,United States,78258,www.sheadesignasp.com/
FNL Remodeling Services,(210) 790-4044,San Antonio 78261 United States,,1 Follower Follow,https://www.houzz.com/pro/webuser-1390751492/fnl-remodeling-services,,San Antonio,United States,78261,
Revive Design Co.,(504) 575-4149,"Austin, Texas United States",,7 Followers Follow,https://www.houzz.com/pro/melissa-katt/revive-design-co,,,,,Facebook.com/Revivedesignco
Saddlebrook Apartments Waco,(254) 502-3434,"Waco, Texas 76712 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-483194623/saddlebrook-apartments-waco,Texas,Waco,United States,76712,
Deja Vu Redesigns,(210) 364-8561,"SAN ANTONIO, Texas 78249 United States",,5 Followers Follow,https://www.houzz.com/pro/switte5805/deja-vu-redesigns,Texas,SAN ANTONIO,United States,78249,
"Twenty7 Group, LLC",(407) 922-7182,"Austin, Texas 78749 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-547326698/twenty7-group-llc,Texas,Austin,United States,78749,
ProofDesign,(512) 772-9397,78728 United States,,0 Followers Follow,https://www.houzz.com/pro/sara-valdez67/proofdesign,,,,,
Day Boyer Design,(512) 993-4894,"1920 E Riverside Dr Austin, Texas 78741 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-30770531183/day-boyer-design,Texas,Austin,United States,78741,
Alexandria Patterson,(512) 306-9928,"1601 S. Mopac Expressway, Barton Skyway Two, Suite 100-D Austin, Texas United States License Number 12004",,,https://www.houzz.com/pro/alipatterson13/alexandria-patterson,,,,12004,www.sixthriver.com/
Lacie Interiors,(408) 807-2385,"7000 Janes Ranch Road Unit 2311 Austin, Texas 78744 United States",,0 Followers Follow,https://www.houzz.com/pro/lacie12003/lacie-interiors,Texas,Austin,United States,78744,
