Business Name,Phone Number,Website,Address,Followers,URL,State,City,Country,Zip Code,Typical Job Cost
Monamii co.,(800) 275-8770,www.monamii.cn,"211 N 26th St Gadsden, Alabama 35904 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-417247528/monamii-co,Alabama,Gadsden,United States,35904,
Emily’s Decorating,(662) 356-6109,,"Columbus, Mississippi 39740 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-224107318/emily-s-decorating,Mississippi,Columbus,United States,39740,
Marie,(205) 222-2222,,"Calera, Alabama 35040 United States",0 Followers Follow,https://www.houzz.com/pro/marie-mccurdy15/marie,,,,,
Boldly Modest Designs,(256) 571-6438,,"6436 Simpson Point Rd Grant, Alabama 35747-7951 United States",0 Followers Follow,https://www.houzz.com/pro/jessica-totora/boldly-modest-designs,Alabama,Grant,United States,35747-7951,
"INDIGO aesthetik, LLC",(205) 538-3912,www.indigoaesthetik.com,"Vestavia, Alabama 35243 United States",0 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/indigoaesthetik/indigo-aesthetik-llc,Alabama,Vestavia,United States,35243,
Gardner Carpet One,(334) 277-2756,www.carpetone.com/ddiy?utm_campaign=organiclocal,"514 Northeast Blvd Montgomery, Alabama 36117 United States",4 Followers Follow,https://www.houzz.com/pro/lsgardner/gardner-carpet-one,Alabama,Montgomery,United States,36117,
Organized Life,(205) 585-3332,,"2102 Montreat Parkway Vestavia Hills, Alabama 35216 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-539225589/organized-life,Alabama,Vestavia Hills,United States,35216,
Gianna Salemi,(470) 309-3616,,gainesville gainesville 30405 United States,2 Followers Follow,https://www.houzz.com/pro/gianna-salemi/gianna-salemi,gainesville,gainesville,United States,30405,
sloaniestewart,(205) 591-1137,,4408 Linwood dr birmingham 35202 United States,9 Followers Follow,https://www.houzz.com/pro/sloaniestewart/sloaniestewart,,birmingham,United States,35202,
Yellow,(404) 566-0394,,"15 Summercourt ave Birmingham, Alaska 35235 United States",0 Followers Follow,https://www.houzz.com/pro/jaime-olivares87/yellow,Alaska,Birmingham,United States,35235,
Rubie rose events,(205) 936-0418,,35210 United States,0 Followers Follow,https://www.houzz.com/pro/webuser-505268093/rubie-rose-events,,,,,
Habitation,(205) 879-5558,www.habitationhomewood.com,"2856 18th Street South Homewood, Alabama 35309 United States",93 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/habitationhomewood/habitation,Alabama,South Homewood,United States,35309,
"Greg Mewbourne Designs, LLC",(205) 229-0308,gregmewbournedesigns.com,"Birmingham, Alabama 35233 United States",23 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/gregmewbournedesigns/greg-mewbourne-designs-llc,Alabama,Birmingham,United States,35233,
Jill Bronaugh,(256) 355-5101,,"708 Bank Street NE Decatur, Alabama 35601 United States",3 Followers Follow,https://www.houzz.com/pro/bungalowhome/jill-bronaugh,Alabama,Decatur,United States,35601,
Marson Sanaa Design Inc,(614) 301-8628,,"Montgomery, Alabama United States",0 Followers Follow,https://www.houzz.com/pro/marsonsanaa77/marson-sanaa-design-inc,,,,,
Holloway Floors & Ceilings,(770) 834-4462,,"Carrollton, Georgia 30116 United States",2 Followers Follow,https://www.houzz.com/pro/donnaholloway14/holloway-floors-ceilings,Georgia,Carrollton,United States,30116,
shear trendz,(205) 905-9086,,"Trussville, Alabama 35146 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-990132393/shear-trendz,Alabama,Trussville,United States,35146,
"Vintage Market & Paint Studio, LLC",,www.vintagemarketandpaintstudio.com,"2345 Whitesburg Drive Huntsville, Alabama 35801 United States",2 Followers Follow,https://www.houzz.com/pro/tinalynn64/vintage-market-paint-studio-llc,Alabama,Huntsville,United States,35801,n/a - n/a License Number 45-3563064
Soul Petrichor,+65 8016 7071,soul-petrichor.com/,"Singapore Singapore, Micronesia 36251 United States",0 Followers Follow,https://www.houzz.com/pro/soul-petrichor/soul-petrichor,,,,,
Barb Boreen-Parks,(205) 672-1025,b2@deerwoodpotteryanddesign.com,"81deerwood Lake drive Harpersville, Alabama 35078 United States",9 Followers Follow,https://www.houzz.com/pro/barb-boreen_parks/barb-boreen-parks,Alabama,Harpersville,United States,35078,
Pam baker,(256) 622-9975,,"Gadsden, Alabama 35907 United States",1 Follower Follow,https://www.houzz.com/pro/dougpambaker/pam-baker,Alabama,Gadsden,United States,35907,
karen davis,,,"birmingham, Alabama United States",5 Followers Follow,https://www.houzz.com/pro/littlereporter/karen-davis,,,,,
Powers,(205) 492-3818,,"Trussville, Alabama 35173 United States",0 Followers Follow,https://www.houzz.com/pro/emma-powers93/powers,Alabama,Trussville,United States,35173,
Glee Interiors,(256) 355-4533,www.gleeinteriors.com,"Decatur, Alabama 35601 United States",29 Followers Follow,https://www.houzz.com/pro/gleesides/glee-interiors,Alabama,Decatur,United States,35601,
