Business Name,Phone Number,Address,Followers,URL,State,City,Country,Zip Code,Website,Typical Job Cost
Alex's,(208) 422-7482,"nampa, Idaho 83651 United States",0 Followers Follow,https://www.houzz.com/pro/alex-brown9626/alex-s,Idaho,nampa,United States,83651,,
Jennifer Moore Interiors,(208) 794-2388,"Boise, Idaho United States",2 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/jennifer7532/jennifer-moore-interiors,,,,,jennifermooreinteriors.com,"$1,000 - 600,000"
Melanie Vigos Interior Design,(801) 647-1349,"Boise, Idaho 83709 United States License Number 85-2571997",0 Followers Follow,https://www.houzz.com/pro/melanie-vigos/melanie-vigos-interior-design,,,,85-2571997,,
nail bar,(208) 760-0092,83705 United States,0 Followers Follow,https://www.houzz.com/pro/lyvia-brooks/nail-bar,,,,,,
Boise Events,(208) 515-6649,"Meridian, Idaho 83642 United States",11 Followers Follow,https://www.houzz.com/pro/josiebarnhart/boise-events,Idaho,Meridian,United States,83642,www.boise-events.com,"$2,000 - 5,000 Read More"
The Picket Fence Interior Design,(208) 806-2900,"351 Leadville Ave. #205A KETCHUM, Idaho 83340 United States",169 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on my blog or other site,https://www.houzz.com/pro/thepicketfence/the-picket-fence-interior-design,Idaho,KETCHUM,United States,83340,www.tpfinteriordesign.com,
Business,(208) 908-3222,"Boise, Idaho 83706 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-444505797/business,Idaho,Boise,United States,83706,,
Fitz & Murphey Interiors,(208) 331-1111,"615 W Hays Boise, Idaho 83702 United States",83 Followers Follow,https://www.houzz.com/pro/ztif1313/fitz-murphey-interiors,Idaho,Boise,United States,83702,fitzmurpheyinteriors.com,
Heather Pascua Interiors,,"PO Box 7542 Boise, Idaho 83707 United States Socials Find me on FacebookFind me on Linkedin",,https://www.houzz.com/pro/heatherpascuainteriors/heather-pascua-interiors,Idaho,Boise,,83707,,
Simply staged,(208) 227-4981,Middleton 83607 United States,4 Followers Follow,https://www.houzz.com/pro/beth-kulani/simply-staged,,,United States,,,
Doubleheart Custom Clothing/Interior Designs,(208) 631-9208,"Boise, Idaho United States",14 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/makm3hyde/doubleheart-custom-clothing-interior-designs,,,,,,
Design Syndicate,(626) 246-5636,"Eagle, Idaho 83616 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-302843816/design-syndicate,Idaho,Eagle,United States,83616,designsyndicate.us,
Trillium Interior Design,(831) 295-5952,"Mccall, Idaho 83615 United States",62 Followers Follow,https://www.houzz.com/pro/trilliuminteriordesign/trillium-interior-design,Idaho,Mccall,United States,83615,trilliuminteriordesign.com,"$200,000 - 15 million Read More"
Montana Timber Products,(208) 459-4138,"Caldwell, Idaho United States",17 Followers Follow,https://www.houzz.com/pro/rkillian66/montana-timber-products,,,,,,
Whoa. Interiors,(406) 781-0601,"BOISE, Idaho 83704 United States",2 Followers Follow,https://www.houzz.com/pro/webuser-1527017/whoa-interiors,Idaho,BOISE,United States,83704,www.whoainteriors.com/,"$1,000 - 500,000"
Melanie Stewart Designs,(415) 374-0423,"Please Call for Consultation Eagle, Idaho 83616 United States",244 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/melanielauren/melanie-stewart-designs,,,,,melaniestewartdesigns.com,"$25,000 - 250,000"
this is not a real business,(208) 367-2255,"Boise, Idaho 83701 United States",0 Followers Follow,https://www.houzz.com/pro/bailey-saville/this-is-not-a-real-business,Idaho,Boise,United States,83701,,
Cathy,,Idaho 83704 United States,15 Followers Follow,https://www.houzz.com/pro/designr7/cathy,,,United States,,,
