Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code
Bianca Caloianu Ethan Allen NYC,(212) 888-2384,www.ethanallen.com,"1010 3rd Ave NY, New York 10065 United States","$2,000 - 15,000 Read More",0 Followers Follow,https://www.houzz.com/pro/bianca-caloianu/bianca-caloianu-ethan-allen-nyc,New York,NY,United States,10065
W Interior Design Concepts LLC,(201) 523-9459,winteriordesignconceptsllc.com,"Hackensack, New Jersey 07601 United States","$30,000 - 2.5 million Read More",3 Followers Follow,https://www.houzz.com/pro/w-interior_design_concepts_llc/w-interior-design-concepts-llc,,,,
Vedansh,(759) 796-9594,awaremonk.com,"New York, New York United States","INR 100,000 - INR 2,000,000 Read More License Number na",0 Followers Follow,https://www.houzz.com/pro/vedansh911/vedansh,,,,
Cottage Whimsey,(860) 395-0636,www.CottageWhimsey.com,"1333 Boston Post Road Old Saybrook, Connecticut 06475 United States",,19 Followers Follow,https://www.houzz.com/pro/carolmcyr/cottage-whimsey,Connecticut,Saybrook,United States,06475
Rachel Belden Interior Design LLC,(203) 431-5774,www.rachelbeldeninteriors.com,"10 Millstone Court Ridgefield, Connecticut 06877 United States","$30,000 - $1,000,000 License Number #IDE.0003811",237 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on Linkedin,https://www.houzz.com/pro/rachelbelden/rachel-belden-interior-design-llc,Connecticut,Ridgefield,United States,06877
Graham Moss Interior Style,(212) 729-8630,www.grahammoss.com,"New York, New York 10011 United States",,12 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/grahammoss/graham-moss-interior-style,New York,New York,United States,10011
Julians Interiors,(203) 245-2221,juliansinteriors.com,"883 Boston Post Road Madison, Connecticut 06443 United States",,191 Followers Follow,https://www.houzz.com/pro/juliefurey/julians-interiors,Connecticut,Madison,United States,06443
"Brittany Capozzi, AKBD",(401) 487-4888,,"Richmond, Rhode Island 02892 United States","$1,000 - 18,000",49 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/brittany-capozzi/brittany-capozzi-akbd,,,,
"von b interiors, inc.",(917) 574-7328,www.vonbinteriors.com,"170 Claremont Avenue, #6 New York, New York 10027 United States","$150,000 - 1 million License Number n/a",130 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on my blog or other site,https://www.houzz.com/pro/andrea-brodfuehrer/von-b-interiors-inc,New York,New York,United States,10027
Epic Designs,(732) 856-3620,,"Red Bank, New Jersey 07701 United States",,4 Followers Follow,https://www.houzz.com/pro/alowrie19/epic-designs,,,,
LizBelle Designs,(862) 823-6453,lizbelledesigns.com,"Staten Island, New York 10301 United States",,27 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/anabelleyara1/lizbelle-designs,New York,Staten Island,United States,10301
Evancho LLC,(917) 974-1400,,"New York, New York 10023 United States","$50,000 - 5,000,000",,https://www.houzz.com/pro/mte10/evancho-llc,New York,New York,United States,10023
Lavender Fields,(631) 474-5461,www.lavenderfieldsonline.com,"250 E Main Street Port Jefferson, New York 11777 United States",,133 Followers Follow Socials Find me on FacebookFind me on my blog or other site Contact Seller,https://www.houzz.com/pro/lavenderfieldshome/lavender-fields,New York,Jefferson,United States,11777
Naomi Weinstein Interiors,,www.naomiweinstein.com,"Spring Valley, New York 10977 United States",,56 Followers Follow Socials Find me on FacebookFind me on Linkedin,https://www.houzz.com/pro/nweins/naomi-weinstein-interiors,York,New,United States,10977
Cristina Dos Santos,(212) 219-8780,www.cristinadossantos.com,"71 Gansevoort St, Suite 2D New York, New York 10014 United States","$100 - 1,000",96 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/cristinadossantosllc/cristina-dos-santos,New York,New York,United States,10014
East Egg Interiors,(516) 448-6908,,"Floral Park, New York 11001 United States",,1 Follower Follow,https://www.houzz.com/pro/eastegginteriorsllc/east-egg-interiors,York,New,United States,11001
"Lisa Joy Designs, LLC",(203) 459-8188,www.LisaJoyDesignsLLC.com,"Trumbull, Connecticut 06611 United States",,23 Followers Follow,https://www.houzz.com/pro/lisajoydsn/lisa-joy-designs-llc,Connecticut,Trumbull,United States,06611
D. Buckley Design,(262) 385-5720,dbuckleydesign.com,"New York, New York United States","$10,000 - 75,000",14 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/dbuckleydesign/d-buckley-design,,,,
Dana Koebbe Interiors,(203) 383-9411,www.danakoebbeinteriors.com,"FAIRFIELD, Connecticut United States","$5,000 - 1 million",14 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/danakoebbeinteriors/dana-koebbe-interiors,,,,
Jesse Cole Design,(732) 614-0659,www.jessecoledesign.com,"Howell, New Jersey 07731 United States",,0 Followers Follow,https://www.houzz.com/pro/jessecoledesign/jesse-cole-design,,,,
Michael Louis Interiors,(201) 320-0242,www.michaellouisinteriors.com,"Jersey city, New Jersey 07302 United States",,51 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/mliinteriors/michael-louis-interiors,New Jersey,Jersey city,United States,07302
Russ Jones,(917) 674-7281,,"365 West 52nd Street NYC, New York 10019 United States",,54 Followers Follow,https://www.houzz.com/pro/russnyc1/russ-jones,New York,NYC,United States,10019
Patricia Herson Design,(203) 878-1013,www.patriciahersondesign.com,"Milford, Connecticut 06460 United States","$50,000 - 500,000 License Number # IDE.0003804",0 Followers Follow,https://www.houzz.com/pro/webuser-139149777/patricia-herson-design,Connecticut,Milford,United States,06460
ArtToFrames,(347) 404-4615,www.arttoframe.com,"770 5th Avenue Brooklyn, New York 11232 United States",,4 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on my blog or other site Contact Seller,https://www.houzz.com/pro/arttoframes/arttoframes,New York,Brooklyn,United States,11232
Annette Mizrahi Interiors,(646) 431-0070,www.Annettemizrahi.com,"1734 east 2nd st brooklyn, New York 11223 United States","$20,000 - 50,000",1 Follower Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/annette862/annette-mizrahi-interiors,New York,brooklyn,United States,11223
"Kia Hiller, Ethan Allen of Manchester",(860) 644-6800,www.ethanallen.com,"49 HALE ROAD MANCHESTER, Connecticut United States",,0 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-726851393/kia-hiller-ethan-allen-of-manchester,,,,
Jazzbo Incorporated,(917) 667-9644,www.jazzboinc.com,"By Request New York, New York 10128 United States",,76 Followers Follow,https://www.houzz.com/pro/jazzboinc/jazzbo-incorporated,New York,New York,United States,10128
Rachel Gedymin Design,(203) 408-2224,www.rachelgedymindesign.com/,"Danbury, Connecticut 06810 United States",,0 Followers Follow,https://www.houzz.com/pro/rachel-gedymin/rachel-gedymin-design,Connecticut,Danbury,United States,06810
Denemede,(203) 655-7355,www.denemede.com,"Darien, Connecticut United States","$10,000.00 - 250,000 License Number 62983390-001",8 Followers Follow,https://www.houzz.com/pro/info816059/denemede,,,,
Michelle Greder of Greder Designs LLC,(732) 501-0074,grederdesigns.com,"North Brunswick, New Jersey 08902 United States","$1,000 - $50,000 Read More",66 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/grederdesigns/michelle-greder-of-greder-designs-llc,,,,
BDH Interiors,(917) 992-1178,www.bdhinteriordesign.com,"380 Hillside Pl South Orange, New Jersey 07079 United States","$1,000 - 10,000 License Number 46-2893902",33 Followers Follow,https://www.houzz.com/pro/hlcartaina/bdh-interiors,New Jersey,South Orange,United States,07079
Black & Wit Design,(347) 450-7401,blackandwit.com,"Brooklyn, New York 11215 United States Socials Find me on my blog or other site",,,https://www.houzz.com/pro/blackandwitdesign/black-wit-design,New York,Brooklyn,,11215
Kelly Macomber Design,(908) 216-4721,kellymacomber.com,PO Box 157 Far Hills 07931 United States,"$0 - 25,000",0 Followers Follow,https://www.houzz.com/pro/kelly-macomber73/kelly-macomber-design,,Far Hills,United States,07931
Jamie D. Interiors,(516) 398-1778,jamiedinteriors.com,"West Hempstead, New York 11552 United States","$200 - 500,000 Read More",0 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/jamiedinteriors/jamie-d-interiors,New York,West Hempstead,United States,11552
Patrice Auerbach Interiors,(516) 318-6033,patriceauerbachinteriors.com,"180 Riverside Boulevard New York, New York 10069 United States",,57 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/decbeast/patrice-auerbach-interiors,New York,New York,United States,10069
"Golden Key Interiors, Inc.",(718) 761-2366,goldenkeyinteriors.com,"Staten Island, New York 10304 United States",,8 Followers Follow,https://www.houzz.com/pro/sonnygolden/golden-key-interiors-inc,New York,Staten Island,United States,10304
Anne Yvonne Designs,(212) 920-1931,www.anneyvonnedesigns.com,"340 Ninth Avenue Pelham, New York 10803 United States","$10,000 - $250,000",35 Followers Follow,https://www.houzz.com/pro/anneyvonnedesigns/anne-yvonne-designs,New York,Pelham,United States,10803
"3sixty Design, LLC",(201) 323-6142,3sixtydesign.houzz.com,"277 Union Ave New Providence, New Jersey 07974 United States","$10,000 - 100,000",19 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/3sixtydesign/3sixty-design-llc,New Jersey,New Providence,United States,07974
Starkwork,(917) 848-8758,,"Tenafky, New Jersey 07670 United States",,2 Followers Follow,https://www.houzz.com/pro/adriane-stark/starkwork,,,,
DKB Assoc.Inc.,(914) 471-0383,,"208 Halyan Rd. Yorktown Hts,, New York 10598 United States",,3 Followers Follow,https://www.houzz.com/pro/dkorn/dkb-assoc-inc,New York,Yorktown Hts,United States,10598
Dean & Silva,(718) 369-6868,www.deanandsilva.com/,"New York, New York United States",,6 Followers Follow,https://www.houzz.com/pro/info725634/dean-silva,,,,
Sybil & Elaine,(917) 280-4806,,"214 West 29th St 16 FL New York, New York 10001 United States","$500 - 5,000 Read More License Number 204699338",15 Followers Follow,https://www.houzz.com/pro/missl0123/sybil-elaine,New York,New York,United States,10001
Sew En Vogue,(203) 791-9267,sewenvogue.com,"Danbury, Connecticut United States","$200 - 10,000 Read More License Number 0340836-000",0 Followers Follow,https://www.houzz.com/pro/sewenvogue/sew-en-vogue,,,,
butter+velvet HOME · DESIGN,(973) 330-8743,butterandvelvet.com,"Butter & Velvet Home Design 11 Broadway Denville, New Jersey 07834 United States","$25,000 - 1.5 million",297 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/butterandvelvethomeanddesign/butter-velvet-home-design,,,,
Chris Shao Studio LLC,(212) 529-1595,www.chrisshaostudio.com,"636 Broadway New York, New York 10012 United States",,1 Follower Follow,https://www.houzz.com/pro/chrisshaostudio/chris-shao-studio-llc,New York,New York,United States,10012
"Na Winn of Ethan Allen, Stamford, CT",(203) 352-2888,www.ethanallen.com,"2046 W. Main Street Stamford, Connecticut 06902 United States",,16 Followers Follow,https://www.houzz.com/pro/nawinn/na-winn-of-ethan-allen-stamford-ct,Connecticut,Stamford,United States,06902
Philip Armand Inc.,(516) 318-7894,,"box 257 Saint James, New York 11780 United States","$20,000 - 2,000,000",8 Followers Follow,https://www.houzz.com/pro/philiparmand/philip-armand-inc,New York,Saint James,United States,11780
"Sorrento Fine Woodwork, LLC",(203) 741-9263,www.sorrentofinewoodwork.com,"340 QUINNIPAC ST UNIT 43L WALLINGFORD, Connecticut 06492 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-294575061/sorrento-fine-woodwork-llc,Connecticut,WALLINGFORD,United States,06492
Suzanne Eberhardt Interior Design,(212) 242-3931,www.eberhardtdesign.com,"Brooklyn, New York 11226 United States",,57 Followers Follow,https://www.houzz.com/pro/zannjazzin/suzanne-eberhardt-interior-design,New York,Brooklyn,United States,11226
SAY INTERIOR SOLUTIONS,+91 77985 87827,sayinterior.com/,"Manhattan, New York United States",,2 Followers Follow,https://www.houzz.com/pro/balram16/say-interior-solutions,,,,
"Gretchen Reinheimer Design, LLC ASID",(201) 723-1735,www.reinheimerdesign.com/,"Upper Nyack, New York 10960 United States","$20000 - 1,000,000 Read More",48 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/gretchenreinheimer/gretchen-reinheimer-design-llc-asid,New York,Upper Nyack,United States,10960
Richard Bailey Interiors LLC,(973) 429-2106,richardbaileyinteriors.com/,"Glen Ridge, New Jersey Glen Ridge United States","$50,000 - 1 million Read More",37 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/richardbaileyinteriors/richard-bailey-interiors-llc,,New Jersey Glen Ridge United States,,
M Interiors Maggie Dror,(516) 884-4342,maggiedror.houzzsite.com,"NY, New York 10025 United States","$2,000 - 30,000",9 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/maggiedror/m-interiors-maggie-dror,New York,NY,United States,10025
Shawna Feeley Interiors,(203) 339-1090,www.shawnafeeley.com,"Fairfield, Connecticut 06824 United States","$20,000 - 200,000",112 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/shawnafeeley/shawna-feeley-interiors,Connecticut,Fairfield,United States,06824
plume interiors nj,(551) 486-5180,plumeinteriorsnj.com,"caldwell, New Jersey 07006 United States",,8 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/dana4841/plume-interiors-nj,,,,
