Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code
"Gemma Parker Design, LLC",(312) 321-8365,www.gemmaparkerdesign.com,"Chicago, Illinois 60611 United States","$200,000 - 3 million",361 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/gemmaparkerdesign/gemma-parker-design-llc,Illinois,Chicago,United States,60611
Callahan Interiors,(847) 278-9321,www.callahaninteriors.com,"Chicago, Illinois 60657 United States","$30,000 - 1 million",180 Followers Follow,https://www.houzz.com/pro/callahaninteriors/callahan-interiors,Illinois,Chicago,United States,60657
Garrett Mitchell Interiors,(312) 698-0228,www.garrettmitchellinteriors.com,"1 East Scott Street Chicago, Illinois 60610 United States","$20,000 - $100000000 Read More License Number 161000943",145 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on my blog or other site,https://www.houzz.com/pro/jacquie-garrett/garrett-mitchell-interiors,Illinois,Chicago,United States,60610
Amber Golob Interiors,(773) 960-0498,ambergolob.com,"3829 N Monticello Avenue Chicago, Illinois 60618 United States","$75,000 - 7 million",194 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/ambergolob/amber-golob-interiors,Illinois,Chicago,United States,60618
Laura Design Company,(630) 791-5528,www.lauradesignco.com,"Wayne, Illinois 60184 United States","$200,000 - 1 million Read More",114 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/lauradesignco/laura-design-company,Illinois,Wayne,United States,60184
Leah Phillips Interiors,(312) 823-7812,www.leahphillipsinteriors.com,"Wheaton, Illinois 60187 United States",,14 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/webuser-116321310/leah-phillips-interiors,Illinois,Wheaton,United States,60187
Leah Bolger Design,(847) 558-6518,www.leahbolger.design,"Glenview, Illinois 60026 United States",,8 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/webuser-464438053/leah-bolger-design,Illinois,Glenview,United States,60026
Queen Bee Interiors,(708) 205-0555,www.houzz.com/pro/qbinteriors/queen-bee-interiors,"Western Springs, Illinois 60558 United States","$7,000 - 200,000",31 Followers Follow Socials Find me on FacebookFind me on Linkedin,https://www.houzz.com/pro/qbinteriors/queen-bee-interiors,,Illinois,United States,60558
"Wendy Nobriga, ASID",(773) 909-0250,wendynobriga.com,"6701 N Ionia Avenue Chicago, Illinois 60646 United States","$10,000 - 250,000 License Number 161-002942",77 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/wbnobriga/wendy-nobriga-asid,Illinois,Chicago,United States,60646
Lugbill Designs,(773) 570-1081,www.lugbilldesigns.com,"211 W Wacker Dr. Suite 300 Chicago, Illinois 60606 United States","$20,000 - 2 million Read More",334 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/chicagointeriordesigner/lugbill-designs,Illinois,Chicago,United States,60606
"Anthony Michael Interior Design, Ltd.",(773) 770-3729,www.anthonymichaelinteriordesign.com,"222 West Ontario Suite 310 Chicago, Illinois 60654 United States","$100,000 - 1 million Read More License Number 161-002361","1,217 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site",https://www.houzz.com/pro/anthony-michael8963/anthony-michael-interior-design-ltd,Illinois,Chicago,United States,60654
Turn Key Designs,(773) 945-5979,yourtkdesigns.com,"Glen Ellyn, Illinois 60137 United States","$0 - 200,000 Read More",9 Followers Follow,https://www.houzz.com/pro/webuser-234731219/turn-key-designs,,Illinois,United States,60137
KWM Designs,(847) 505-0072,kwmdesigns.com,"2006 Palmgren Drive Glenview, Illinois 60025 United States",,44 Followers Follow,https://www.houzz.com/pro/kwmdesigns40/kwm-designs,Illinois,Glenview,United States,60025
Goetz Interiors,(847) 278-9703,jillgoetzinteriors.com,"1320 Rosemary lane Northbrook, Illinois 60062 United States","$10,000 - 1 million",2 Followers Follow Socials Find me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/webuser-633184375/goetz-interiors,Illinois,Northbrook,United States,60062
Matte & Gloss Interiors,(847) 881-7707,matteglossinteriors.com,"1111 Pebblewood Lane Glencoe, Illinois 60022 United States","$25,000 - 350,000 Read More",3 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/mattegloss/matte-gloss-interiors,Illinois,Glencoe,United States,60022
Phillip Harrison Interiors,(312) 728-7810,phillip-harrison.com,"Chicago, Illinois 60640 United States","$50,000 - 3 million",73 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/phillipharrison/phillip-harrison-interiors,Illinois,Chicago,United States,60640
Abigail Ray Interiors,(224) 386-0842,www.abigailrayinteriors.com,"Chicago, Illinois 60660 United States","$15,000 - 1.5 million",0 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/abigailrayinteriors/abigail-ray-interiors,Illinois,Chicago,United States,60660
Mia Rao Design,(312) 850-4841,www.miaraodesign.com,"509 N. Wolcott Chicago, Illinois 60622 United States","$50,000 - 20 million",740 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/miarao/mia-rao-design,Illinois,Chicago,United States,60622
TZS Design,(773) 983-1880,www.tzsdesign.com,"1849 W. Armitage Avenue Unit # 3 Chicago, Illinois 60622 United States","$100,000 - 1,000,000",723 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/tspanier/tzs-design,Illinois,Chicago,United States,60622
Inside Looks by debi Ross,(708) 477-3228,insidelooks.com/,"10734 Buck Drive Orland Park, Illinois 60467 United States","$350 - 900,000",40 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/insidelooks/inside-looks-by-debi-ross,Illinois,Orland Park,United States,60467
Modern Impact Design,(312) 410-8663,www.modernimpactdesign.com/,"906 W Sunnyside Ave. Chicago, Illinois 60640 United States","$10,000 - 500,000",1 Follower Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/modern-impact_design/modern-impact-design,Illinois,Chicago,United States,60640
Carla 1 Design,(312) 698-0246,carla1design.com,"St. Charles, Illinois 60175 United States License Number 016176",,139 Followers Follow,https://www.houzz.com/pro/carla1design/carla-1-design,,,,
Steinhafels,(414) 422-8649,www.steinhafels.com/,"W231 N1013 County Hwy F Waukesha, Wisconsin 53186 United States",$380 - and up Read More,96 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/steinhafelsfurniture/steinhafels,Wisconsin,Waukesha,United States,53186
Dual Concept Design,(312) 883-9963,www.dualconceptdesign.com/,"4809 N. Ravenswood Ave. Suite 225 Chicago, Illinois 60640 United States","$25,000 - 5 million",96 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/dualconceptdesign/dual-concept-design,Illinois,Chicago,United States,60640
Amy Kartheiser Design,(312) 270-1753,amykartheiserdesign.com/,"738 N Wells, 3rd Floor Chicago, Illinois 60654 United States","$300,000 - 1 million Read More",323 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/amykartheiser-design/amy-kartheiser-design,Illinois,Chicago,United States,60654
Sāo Design Studio LLC,(708) 815-8034,www.saodesignstudiollc.com,"Chicago, Illinois 60657 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-407064559/s-o-design-studio-llc,Illinois,Chicago,United States,60657
Darl Grooters Ltd,(630) 796-2792,www.darlgrootersltd.com,"143 S Cass Ave Westmont, Illinois 60559 United States","$25,000 - 2.5 million",119 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/darlgrootersltd/darl-grooters-ltd,Illinois,Westmont,United States,60559
Inspired Interiors,(773) 728-0419,inspiredinteriors.com/,"Chicago / Wilmette, Illinois 60654 United States","$100,000 - 2,000,000 Read More License Number 161.003143","1,872 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site Contact Seller",https://www.houzz.com/pro/inspiredinteriors/inspired-interiors,Illinois,Chicago Wilmette,United States,60654
Amy Storm & Company,(630) 474-9094,amystormandco.com,"Glen Ellyn, Illinois 60137 United States License Number NCIDQ 20958",,"1,238 Followers Follow Socials Find me on FacebookFind me on TwitterFind me on LinkedinFind me on my blog or other site",https://www.houzz.com/pro/amystormandco/amy-storm-company,,,,20958
Eva Quateman Interiors,(312) 255-8800,www.evaquateman.com,"220 W. Huron St. Suite 2002 Chicago, Illinois 60654 United States","$50,000 - 2 million License Number 2476-2210",383 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/evaquateman/eva-quateman-interiors,Illinois,Chicago,United States,60654
Christie Kenny Interiors,(708) 540-2570,www.christiekennyinteriors.com,"213 Burlington Ave Clarendon Hills, Illinois 60514 United States",,26 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/christiekennyinteriors/christie-kenny-interiors,Illinois,Clarendon Hills,United States,60514
Parti Pris Design,(347) 301-1476,partiprisdesign.com,"Oak Park, Illinois 60305 United States","$10,000 - 200,000",2 Followers Follow,https://www.houzz.com/pro/webuser-293869604/parti-pris-design,,Illinois,United States,60305
reDesign home | chicago,(248) 982-8447,www.redesignhome.co,"438 N Main St Glen Ellyn, Illinois 60137 United States","$30,000 - 2 million",77 Followers Follow Socials Find me on my blog or other site,https://www.houzz.com/pro/rdhchicago/redesign-home-chicago,Illinois,St Glen Ellyn,United States,60137
