Business Name,Phone Number,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code,Website
N Willett Design,(502) 498-6538,"Louisville, Kentucky 40220 United States",$75 to 110 per hour -,20 Followers Follow,https://www.houzz.com/pro/nancy-menz/n-willett-design,,,,,
JCG Holdings,(859) 393-6104,"2214 Scott blvd Covington, Kentucky United States",,0 Followers Follow,https://www.houzz.com/pro/chris-gastright/jcg-holdings,,,,,
All Things Yellow Springs,(937) 750-7499,"Yellow Springs, Ohio 45387 United States",,9 Followers Follow,https://www.houzz.com/pro/kwintrow/all-things-yellow-springs,,Ohio,United States,45387,
KC FABRICATIONS,(513) 398-1082,"3889 Marble Ridge Lane Mason, Ohio 45040 United States",,8 Followers Follow,https://www.houzz.com/pro/kayceeagricola/kc-fabrications,Ohio,Mason,United States,45040,
FRCH Design,,"Cincinnati, Ohio United States",,4 Followers Follow,https://www.houzz.com/pro/funchejc/frch-design,,,,,www.frch.com
jpaskoff,(317) 638-1448,"1028 Shelby st Indianapolis, Indiana 46203 United States",,3 Followers Follow,https://www.houzz.com/pro/jpaskoff/jpaskoff,Indiana,Indianapolis,United States,46203,
Ten Chariots Interiors by Kaitlin Woods,(859) 609-1429,"10163 Labrador Lane Alexandria, Kentucky 41001 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-624419053/ten-chariots-interiors-by-kaitlin-woods,Kentucky,Alexandria,United States,41001,
Burks & Darby,(937) 999-9999,45415 United States,,0 Followers Follow,https://www.houzz.com/pro/burksanddarby-interiordesign/burks-darby,,,,,
Favourite English Vintage,,"Noblesville, Indiana United States",,2 Followers Follow,https://www.houzz.com/pro/englishvintage/favourite-english-vintage,,,,,
TURNMEUPGLOBAL,(678) 997-6087,"Beech Grove, Indiana 46107 United States",,0 Followers Follow,https://www.houzz.com/pro/kamau-states/turnmeupglobal,Indiana,Beech Grove,United States,46107,
Mission Design Co,(614) 706-6076,"Columbus, Ohio 43206 United States",,0 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/webuser-188520210/mission-design-co,Ohio,Columbus,United States,43206,missiondesignco.com
Lets Print Big,(765) 594-8028,"112 N Main St Lynn, Indiana 47355 United States",,1 Follower Follow,https://www.houzz.com/pro/letsprintbig/lets-print-big,Indiana,Lynn,United States,47355,www.letsprintbig.com
diy design,(731) 439-4480,"2416 Frankfort Ave. 2 Louisville, Kentucky 40206 United States",,3 Followers Follow,https://www.houzz.com/pro/kyfarm2009/diy-design,Kentucky,Louisville,United States,40206,
"Berninger Designs, LLC",(513) 702-4908,"Milford, Ohio 45150 United States","$30,000 - 2 million Read More",105 Followers Follow Socials Find me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/saraberninger/berninger-designs-llc,,,,,www.berningerdesigns.com
Elevated Interiors LLC,(513) 807-2828,"3800 Red Bank Rd Cincinnati, Ohio 45227 United States","$500 - 3,500 Read More",0 Followers Follow,https://www.houzz.com/pro/webuser-239485515/elevated-interiors-llc,Ohio,Cincinnati,United States,45227,www.interiorsbykassie.com
