Business Name,Phone Number,Website,Address,Typical Job Cost,Followers,URL,State,City,Country,Zip Code
Manifest Haute Home & Style,(330) 819-9079,www.facebook.com/manifesthautestyle,"Akron, Ohio United States","$350 - 1,500 Read More",0 Followers Follow,https://www.houzz.com/pro/calleiah-kennedy_moss/manifest-haute-home-style,,,,
Morning Glory Interiors,(440) 421-9555,,"Lyndhurst, Ohio 44124 United States",,4 Followers Follow,https://www.houzz.com/pro/jillwselman/morning-glory-interiors,Ohio,Lyndhurst,United States,44124
shana,(216) 209-8094,,"6805 Mayfield Road Mayfield Hts, Ohio 44124 United States",,32 Followers Follow,https://www.houzz.com/pro/shana-gaskins/shana,Ohio,Mayfield Hts,United States,44124
Marrah Interiors,(330) 958-3978,www.marrahinteriors.com,"Akron, Ohio 44312 United States",,5 Followers Follow,https://www.houzz.com/pro/tmarrah3/marrah-interiors,Ohio,Akron,United States,44312
Desired Destination,+91 86587 63648,,"Toronto, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/hiraktaunk/desired-destination,,,,
Interior era,(762) 068-4057,,440032 United States,,0 Followers Follow,https://www.houzz.com/pro/webuser-893169749/interior-era,,,,
Donley Home Interiors,(678) 591-3206,,44120 United States,,0 Followers Follow,https://www.houzz.com/pro/kristen-donley27/donley-home-interiors,,,,
Stewart Design,(330) 666-7215,www.facebook.com/Stewartdesign1/,"1170 TOP O HILL ROAd AKRON, Ohio 44333 United States",,5 Followers Follow Socials Find me on FacebookFind me on Linkedin,https://www.houzz.com/pro/terricita/stewart-design,Ohio,AKRON,United States,44333
Khama,290-0814,www.facebook.com/Khama.Interior.design,"10th of Ramadan city, Neighborhood 15, 10th of Ramadan city 44634 United States",,7 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/toosa/khama,city,Ramadan,United States,44634
Z-Suites,(216) 272-1202,,"Fairview Park, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/timzaremba/z-suites,,,,
Color & Design Consultation,(330) 284-8647,,"2465 Swathmore Cir NW North Canton, Ohio 44720 United States",$40.00 hr - Read More,0 Followers Follow,https://www.houzz.com/pro/webuser-840845027/color-design-consultation,Ohio,North Canton,United States,44720
Rebecca ray Designs,(440) 725-4437,,"Chagrin Falls, Ohio United States",,5 Followers Follow,https://www.houzz.com/pro/rebecca-smith7812/rebecca-ray-designs,,,,
KAS Interior Design,(440) 379-1340,www.kasinteriors.com,"46200 Mather Lane Chagrin Falls, Ohio 44022 United States","$25,000 - 2 million Read More License Number 018179",163 Followers Follow Socials Find me on FacebookFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/kasint/kas-interior-design,Ohio,Chagrin Falls,United States,44022
Sure Feels Like Home,(330) 550-5121,,44039 United States,,0 Followers Follow,https://www.houzz.com/pro/webuser-315404030/sure-feels-like-home,,,,
Turner Properties,(330) 666-9292,,"4767 Arbour Green Akron, Ohio 44333 United States",,3 Followers Follow,https://www.houzz.com/pro/mcintyre714/turner-properties,Ohio,Akron,United States,44333
Nn,(986) 638-2303,,44201 United States,,0 Followers Follow,https://www.houzz.com/pro/webuser-745075634/nn,,,,
3-D Design,(440) 665-3046,,"Chardon, Ohio Chardon 44024 United States",,7 Followers Follow,https://www.houzz.com/pro/zucosky/3-d-design,,,,
Lane's Custom Creations,(519) 773-7912,,"kitchener, Ontario n5h2r4 Canada",,0 Followers Follow,https://www.houzz.com/pro/larissa-lane51/lane-s-custom-creations,,,,
Court & Graphic,(330) 402-9598,,"canfield, Ohio 44406 United States",,0 Followers Follow,https://www.houzz.com/pro/courteney-riddle/court-graphic,Ohio,canfield,United States,44406
GC Design,(216) 470-2767,,"Cleveland, Ohio United States","$150 - 100,000",0 Followers Follow,https://www.houzz.com/pro/gc-design/gc-design,,,,
The Design House,(419) 308-0636,,"Woodville, Ohio United States",,0 Followers Follow,https://www.houzz.com/pro/lcrawfordnusser/the-design-house,,,,
Philip Consulting,(281) 236-3179,,"Kent, Ohio 44240 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-941555630/philip-consulting,,,,
valerie,(415) 290-2335,,"Hudson, Ohio 44236 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-365969026/valerie,Ohio,Hudson,United States,44236
New Leaf Design,(216) 337-4880,,"Cleveland Heights, Ohio 44118 United States",,2 Followers Follow,https://www.houzz.com/pro/marychap25/new-leaf-design,,Ohio,United States,44118
daniel moore interiors,(330) 606-8032,,"p.o. box 6345 Akron, Ohio 44312 United States",,2 Followers Follow,https://www.houzz.com/pro/danielmooreinteriors/daniel-moore-interiors,Ohio,Akron,United States,44312
Marianne Modlin Designs,(313) 881-3253,,"21160 Hunt Club Drive Harper Woods, Michigan 48225 United States",,2 Followers Follow,https://www.houzz.com/pro/mdwolf5/marianne-modlin-designs,Michigan,Harper Woods,United States,48225
Ethan Aleln,(216) 765-1358,,"Lyndhurst, Ohio United States",,3 Followers Follow,https://www.houzz.com/pro/fred-unwin64/ethan-aleln,,,,
Studio Floral,(216) 522-0222,studiofloral.com,"Cleveland, Ohio United States License Number 18-499963",,2 Followers Follow,https://www.houzz.com/pro/jennifer3210/studio-floral,,,,
"Reich & Associates, Inc.",(330) 699-3005,www.reichoffice.com,"2421 Sucrose Dr Akron, Ohio 44312 United States",,1 Follower Follow,https://www.houzz.com/pro/pkreich/reich-associates-inc,Ohio,Akron,United States,44312
sam homes,(440) 220-0169,,"172 Claremont Dr Brunswick, Ohio 44212 United States",,0 Followers Follow,https://www.houzz.com/pro/salam-abukhalil/sam-homes,Ohio,Brunswick,United States,44212
"MPL Designworks, LLC",(440) 237-2210,mpldesignworks.com,"12952 Kingston Way North Royalton, OH, Ohio 44133 United States","$10,000 - 10 million",0 Followers Follow,https://www.houzz.com/pro/webuser-795855158/mpl-designworks-llc,"OH, Ohio",North Royalton,United States,44133
Nicole Blake Interiors,(412) 719-3355,,"Wexford, Pennsylvania United States",,0 Followers Follow,https://www.houzz.com/pro/nicole-blake68/nicole-blake-interiors,,,,
O'Neill Harrington Interiors,,www.oneillharrington.com,"Windsor, Ontario Canada",,13 Followers Follow,https://www.houzz.com/pro/oneillharrington/o-neill-harrington-interiors,,,,
MacDonald & Co Fine Interiors,(330) 620-7127,macdonaldinteriors.com,"Cleveland, Ohio 44124 United States","$25,000 - 2 million Read More",32 Followers Follow,https://www.houzz.com/pro/linda-macdonald5/macdonald-co-fine-interiors,Ohio,Cleveland,United States,44124
Lauren Cochran,(440) 829-7324,,"Ravenna, Ohio 44266 United States",,0 Followers Follow,https://www.houzz.com/pro/sugarkitten420/lauren-cochran,Ohio,Ravenna,United States,44266
The Darby Creative House,(216) 772-5201,,"Cleveland, Ohio 44122 United States",,0 Followers Follow,https://www.houzz.com/pro/webuser-984049209/the-darby-creative-house,Ohio,Cleveland,United States,44122
Alluring Aesthetics,(216) 972-4523,,44124 United States,,0 Followers Follow,https://www.houzz.com/pro/daija-robinson/alluring-aesthetics,,,,
"Ebony & Oak Interiors, LLC",(330) 329-2704,www.ebonyandoakinteriors.com,"Hudson, Ohio 44236 United States","$5,000 - 150,000",29 Followers Follow,https://www.houzz.com/pro/jamie-sredinski/ebony-oak-interiors-llc,Ohio,Hudson,United States,44236
J&M interiors and design,,,"Elyria, Ohio 44035 United States",,40 Followers Follow,https://www.houzz.com/pro/katie-bevan65/j-m-interiors-and-design,Ohio,Elyria,United States,44035
