Business Name,Phone Number,Address,Followers,URL,State,City,Country,Zip Code,Website,Typical Job Cost
All Things Yellow Springs,(937) 750-7499,"Yellow Springs, Ohio 45387 United States",9 Followers Follow,https://www.houzz.com/pro/kwintrow/all-things-yellow-springs,,Ohio,United States,45387,,
KC FABRICATIONS,(513) 398-1082,"3889 Marble Ridge Lane Mason, Ohio 45040 United States",8 Followers Follow,https://www.houzz.com/pro/kayceeagricola/kc-fabrications,Ohio,Mason,United States,45040,,
Burks & Darby,(937) 999-9999,45415 United States,0 Followers Follow,https://www.houzz.com/pro/burksanddarby-interiordesign/burks-darby,,,,,,
FRCH Design,,"Cincinnati, Ohio United States",4 Followers Follow,https://www.houzz.com/pro/funchejc/frch-design,,,,,www.frch.com,
Mission Design Co,(614) 706-6076,"Columbus, Ohio 43206 United States",0 Followers Follow Socials Find me on Facebook,https://www.houzz.com/pro/webuser-188520210/mission-design-co,Ohio,Columbus,United States,43206,missiondesignco.com,
"Berninger Designs, LLC",(513) 702-4908,"Milford, Ohio 45150 United States",105 Followers Follow Socials Find me on TwitterFind me on LinkedinFind me on my blog or other site,https://www.houzz.com/pro/saraberninger/berninger-designs-llc,,,,,www.berningerdesigns.com,"$30,000 - 2 million Read More"
Elevated Interiors LLC,(513) 807-2828,"3800 Red Bank Rd Cincinnati, Ohio 45227 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-239485515/elevated-interiors-llc,Ohio,Cincinnati,United States,45227,www.interiorsbykassie.com,"$500 - 3,500 Read More"
Carly Bremenour Home,(216) 258-9873,"3688 Brinell St. West Columbus, Ohio 43214 United States",0 Followers Follow,https://www.houzz.com/pro/carly-bremenour/carly-bremenour-home,Ohio,West Columbus,United States,43214,carlybremenourhome.com,0 -
The Baden Company,,"420 E. Stroop Rd Dayton, Ohio 45429 United States",23 Followers Follow,https://www.houzz.com/pro/bret-baden/the-baden-company,Ohio,Dayton,United States,45429,www.thebadencompany.com,
"Dolen Interior, Plc",(740) 452-6385,2552 Dresden Rd Zanesville 43701 United States,0 Followers Follow,https://www.houzz.com/pro/hdolen/dolen-interior-plc,,Zanesville,United States,43701,,
Fourth Interiors,(614) 398-0951,"1065 Dublin Road Columbus, Ohio 43215 United States",9 Followers Follow Socials Find me on FacebookFind me on my blog or other site,https://www.houzz.com/pro/fourthinteriors/fourth-interiors,Ohio,Columbus,United States,43215,fourthinteriors.com,"$15,000 - 100,000"
Annie Dye,(614) 329-1223,"Fort Thomas, Kentucky 41075 United States",0 Followers Follow,https://www.houzz.com/pro/annie-dye100/annie-dye,Kentucky,Fort Thomas,United States,41075,,
Kristen DuChemin Interior Design,(614) 778-3962,"5750 Hayden Run Blvd Columbus, Ohio 43016 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-16000764193060/kristen-duchemin-interior-design,Ohio,Columbus,United States,43016,www.duchemindesign.com,
George Edwin Interiors,(859) 743-1818,"5300 Hamilton Ave. #1100 Cincinnati, Ohio 45224 United States",5 Followers Follow,https://www.houzz.com/pro/theboys01/george-edwin-interiors,Ohio,Cincinnati,United States,45224,www.facebook.com/georgeedwininteriors/?fref=photo,
Designs on Madison,(513) 260-9513,"Cincinnati, Ohio 45206 United States",0 Followers Follow,https://www.houzz.com/pro/cindy-crawford46/designs-on-madison,Ohio,Cincinnati,United States,45206,Www.designsonmadison.com,
Mystical Elements,(614) 330-7005,"COLUMBUS, Ohio 43204 United States",0 Followers Follow,https://www.houzz.com/pro/cortney-brugh/mystical-elements,Ohio,COLUMBUS,United States,43204,,
Brindle's Furniture & Interior,(419) 422-4451,"Findlay, Ohio 45840 United States",0 Followers Follow,https://www.houzz.com/pro/brindlesfurn/brindle-s-furniture-interior,,,,,www.brindlesfurniture.com/index.html,
Keerat Sandhu Inc,(937) 260-2140,"Dayton, Ohio 45458 United States",0 Followers Follow,https://www.houzz.com/pro/keeratksandhu/keerat-sandhu-inc,Ohio,Dayton,United States,45458,,
Classic Designs,(330) 417-9130,"3802 Long Ln Middletown, Ohio 45044 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-260733007/classic-designs,Ohio,Middletown,United States,45044,,
Brooklyn,(614) 302-4043,"3600 Park St Grove City, Ohio 43123 United States",0 Followers Follow,https://www.houzz.com/pro/brooklyn-collins71/brooklyn,Ohio,St Grove City,United States,43123,,
Gravely Designed,(740) 200-0866,"51 Glencoe Rd Columbus, Ohio 43214 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-363425182/gravely-designed,Ohio,Columbus,United States,43214,,
Schlegel Design Group,(740) 756-9952,"Carroll, Ohio 43112 United States",2 Followers Follow,https://www.houzz.com/pro/wlschlegel/schlegel-design-group,Ohio,Carroll,United States,43112,,
Karyl Kindell,(513) 716-7535,"6516 Wooden Shoe Dr Liberty TWP, Ohio United States",0 Followers Follow,https://www.houzz.com/pro/webuser-24808210/karyl-kindell,,,,,,"$2,500 - 100,000"
Refurbished & Refined,(740) 360-5601,"Marion, Ohio 43302 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-644130619/refurbished-refined,Ohio,Marion,United States,43302,,"$0 - 2,500"
Peace and Pine Designs,(614) 379-1661,"2599 Mallards Landing Dr Powell, Ohio 43065 United States",0 Followers Follow,https://www.houzz.com/pro/webuser-433701613/peace-and-pine-designs,Ohio,Powell,United States,43065,,
Lauren Kaylor,(614) 847-4279,"1275 Polaris Pkwy Columbus, Ohio 43045 United States",0 Followers Follow,https://www.houzz.com/pro/l-kaylor24/lauren-kaylor,Ohio,Columbus,United States,43045,,
Kat Shuler,(513) 324-1422,"Columbus, Ohio 43212 United States",23 Followers Follow,https://www.houzz.com/pro/kat-shuler/kat-shuler,Ohio,Columbus,United States,43212,,
Indospareparts,81281000409,"Jakarta, Ohio United States",0 Followers Follow,https://www.houzz.com/pro/sparepart-alatberat/indospareparts,,,,,www.otospareparts.com,Jakarta - indonesia Read More
Hayley Gallery/Deeter Design,(614) 855-4856,"260 Market St New Albany, Ohio 43054 United States",0 Followers Follow,https://www.houzz.com/pro/hayley-gallery/hayley-gallery-deeter-design,Ohio,New Albany,United States,43054,www.localohioart.com,
Casa Decor,(614) 313-1589,"18 E. Bridge St Dublin, Ohio 43017 United States",25 Followers Follow,https://www.houzz.com/pro/vmaloof/casa-decor,Ohio,Dublin,United States,43017,www.casadecor.co,
